iter	RMSE
0	4998.943472
1	4938.60223
2	4872.776413
3	4811.521556
4	4756.572384
5	4685.574128
6	4616.881851
7	4560.866638
8	4504.237374
9	4441.859123
10	4378.943789
11	4328.367416
12	4268.460553
13	4224.189237
14	4179.624294
15	4127.311883
16	4080.053798
17	4027.572876
18	3975.74678
19	3928.144328
20	3891.122657
21	3841.536555
22	3794.911884
23	3744.734124
24	3698.342666
25	3644.339758
26	3605.826003
27	3573.314269
28	3528.293418
29	3495.579906
30	3451.91013
31	3399.957953
32	3353.207951
33	3315.484783
34	3283.1904
35	3240.214375
36	3202.293702
37	3156.374214
38	3121.246753
39	3077.561538
40	3040.015567
41	3002.61071
42	2971.17462
43	2937.472003
44	2908.956737
45	2880.074682
46	2838.528625
47	2797.708291
48	2770.239281
49	2736.072316
50	2696.77077
51	2668.589474
52	2643.275658
53	2610.936267
54	2579.128727
55	2547.129831
56	2512.274961
57	2483.884292
58	2462.909595
59	2429.57278
60	2401.580896
61	2374.02731
62	2349.459193
63	2328.960059
64	2299.676653
65	2277.458004
66	2254.361746
67	2232.937208
68	2204.96668
69	2181.312226
70	2155.843517
71	2130.789897
72	2111.621864
73	2088.580572
74	2062.499681
75	2039.419777
76	2023.567547
77	2001.957818
78	1977.784683
79	1959.081939
80	1945.691558
81	1922.699136
82	1905.057643
83	1887.462589
84	1863.517872
85	1844.913797
86	1820.394813
87	1800.25367
88	1780.813215
89	1760.861098
90	1738.62392
91	1718.757782
92	1697.059219
93	1678.521541
94	1658.13949
95	1640.62009
96	1620.910916
97	1602.942294
98	1587.29717
99	1569.046626
100	1548.61785
101	1535.201326
102	1520.301243
103	1502.066497
104	1487.262647
105	1475.681218
106	1460.745393
107	1449.128345
108	1432.09167
109	1419.811722
110	1406.230389
111	1394.652935
112	1381.654526
113	1371.062123
114	1360.411546
115	1348.338799
116	1334.579337
117	1320.704625
118	1307.464528
119	1297.06878
120	1281.308211
121	1269.116683
122	1258.200711
123	1247.974741
124	1236.391155
125	1223.455811
126	1210.735587
127	1199.214524
128	1188.286265
129	1179.33424
130	1170.992256
131	1157.748298
132	1145.440349
133	1134.918419
134	1124.50279
135	1112.385247
136	1103.702016
137	1091.191823
138	1079.403956
139	1069.163903
140	1059.65266
141	1047.270733
142	1036.250522
143	1025.735704
144	1018.569415
145	1011.178504
146	1001.66025
147	991.8095632
148	981.9894135
149	971.5300512
150	961.5534119
151	954.6422781
152	945.221289
153	936.6836069
154	926.613099
155	917.9062694
156	910.2001998
157	900.8877412
158	894.7080717
159	886.2766234
160	878.6002348
161	870.9833778
162	862.601808
163	856.8539866
164	850.9247194
165	843.3169495
166	835.6071377
167	829.4714969
168	823.1761025
169	816.7686646
170	808.4126678
171	802.0678874
172	795.8384944
173	788.6733102
174	781.568339
175	776.3142449
176	770.022055
177	761.8844465
178	755.5138124
179	748.4008901
180	741.2586262
181	735.7658364
182	728.0671742
183	721.5784273
184	716.3040628
185	710.2534491
186	704.5042714
187	698.2289281
188	693.7626473
189	688.0441625
190	684.7587821
191	678.5800079
192	672.4821855
193	667.4950689
194	661.9181771
195	655.3665251
196	650.2339021
197	645.5262767
198	640.2689673
199	634.6153272
200	629.6041979
201	624.2662182
202	619.0973005
203	613.2541931
204	607.8451135
205	602.550732
206	597.2051319
207	593.278643
208	587.9908911
209	582.2193914
210	578.5322338
211	574.2062398
212	569.4921009
213	563.9882459
214	560.0552914
215	555.4699815
216	550.689318
217	546.078871
218	543.6896695
219	539.3248496
220	536.039035
221	533.2106049
222	528.7861421
223	524.0526005
224	520.1559193
225	515.6974543
226	511.4867211
227	508.3733578
228	503.4253724
229	499.2239626
230	495.4440798
231	491.6572453
232	487.9229219
233	484.1814152
234	481.9041161
235	477.6710705
236	474.2481995
237	470.5147124
238	466.6153714
239	464.0956326
240	460.7508993
241	457.0286228
242	454.4561772
243	450.277799
244	447.6385233
245	445.0633004
246	441.4313323
247	437.6580945
248	433.9574903
249	430.4626804
250	426.9522249
251	423.5311606
252	421.3029781
253	418.10044
254	414.898872
255	411.6435355
256	407.8702617
257	404.5866889
258	402.3326256
259	399.0056667
260	395.6625475
261	392.5545674
262	389.2929258
263	386.2595694
264	384.4218331
265	382.2808808
266	379.4766991
267	377.1673587
268	374.8783002
269	372.7519884
270	370.091493
271	368.2225508
272	366.1375397
273	363.2214447
274	360.4133203
275	358.3859527
276	356.4117414
277	353.6175507
278	351.5555395
279	348.8171009
280	345.6481062
281	343.8797742
282	342.0867195
283	340.1586336
284	338.3233177
285	335.6603971
286	333.0694802
287	330.459881
288	327.930848
289	326.0165534
